Case ID,Field family count,CSV field families detected,Tags,Case,JiraId
150315,8,"consigneeName, customerName, equipmentType, loadMethod, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","dfb,loads",Verify the rewritten or update the auto populate information provided by a Carrier in TNX when the Status of the Load is,FD-40551
150316,8,"consigneeName, customerName, equipmentType, loadMethod, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","dfb,loads",Verify the rewritten or update the auto populate information provided by a Carrier in TNX when the Status of the Load is,FD-40551
150317,8,"consigneeName, customerName, equipmentType, loadMethod, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","dfb,loads",Verify the rewritten or update the auto populate information provided by a Carrier in TNX when the Status of the Load is,FD-40551
150318,8,"consigneeName, customerName, equipmentType, loadMethod, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","dfb,loads",Verify the rewritten or update the auto populate information provided by a Carrier in TNX when the Status of the Load is,FD-40551
150319,8,"consigneeName, customerName, equipmentType, loadMethod, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","dfb,loads",Verify the rewritten or update the auto populate information provided by a Carrier in TNX when the Status of the Load is,FD-40551
150320,8,"consigneeName, customerName, equipmentType, loadMethod, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","dfb,loads",Verify the rewritten or update the auto populate information provided by a Carrier in TNX when the Status of the Load is,FD-40551
154607,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb",Verify the display the Number of Loads Moved by the Carrier within 90 Days & 365 Days,FD-41687
171324,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dat,dfb,loads","Verify that when a load is posted to both DAT and TNX and is matched via TNX, the carrier does not receive a cancellatio",FD-42636
196078,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify that a load is allowed to be posted to TNX when the Cargo Value is between $100,001 and $250,000, one or more car",FD-42022
196080,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify that a load does not allowed to be posted to TNX when the Cargo Value is between $100,001 and $250,000, no carrie",FD-42022
