Case ID,JiraId,Tags,Primary tag,Case,Issue2 Incomplete procedure,Issue3 Role/cross-app,Issue4 Unclear Expected/screens,Other-issue count,Clean of issues 2-4,Agent category tag?,Steps chars,Step count,Expected chars,Has login wording,Has hover wording,CSV field count,Gold closeness,Depth % of gold median
7772,FD-32549,rateandmatch,rateandmatch,Verfiy that The Carrier and Match form is NOT revised for offices that are NOT DFB enabled.,Y,N,N,1,N,N,123,0,155,N,N,0,3.0,3.3
97923,FD-31341,createtl,createtl,"Validate when a carrier is changed or removed on a load where Prepay Carrier Check exists, the prepay linked to the old ",Y,N,N,1,N,N,112,0,66,N,N,0,1.7,3.0
262158,FD-43210,"go2,handlingunit",go2,Assign Item to HU and Persist,Y,N,N,1,N,N,34,0,23,N,N,0,0.6,0.9
262160,FD-43210,"go2,handlingunit",go2,Two items share HU,Y,N,N,1,N,N,14,0,22,N,N,0,0.4,0.4
262161,FD-43210,"go2,handlingunit",go2,Delete HU unassigns items,Y,N,N,1,N,N,9,0,18,N,N,0,0.3,0.2
262164,FD-43210,"go2,handlingunit",go2,Caption Total HU,Y,N,N,1,N,N,14,0,16,N,N,0,0.3,0.4
262165,FD-43210,"go2,handlingunit",go2,Caption excludes BOL,Y,N,N,1,N,N,14,0,11,N,N,0,0.3,0.4
262166,FD-43210,"go2,handlingunit",go2,Caption weight calculation,Y,N,N,1,N,N,10,0,14,N,N,0,0.3,0.3
262170,FD-43210,"go2,handlingunit",go2,Banyan re-rate trigger,Y,N,N,1,N,N,16,0,13,N,N,0,0.3,0.4
117006,FD-36348,,(none),Validate payable toggle when an additional invoice is received and auto pay logic fails due to a missing report.,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
117007,FD-36348,,(none),Validate payable toggle when an additional invoice is received and auto pay logic passes.,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
349949,,customerportal,customerportal,Payment Module - Verify all payment dropdown fields are enabled for invoices in open status,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
349950,,customerportal,customerportal,Payment Method - Add a payment method,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
349979,FD-44421,"offices,reports",offices,Persistence when Pay Commissions set to NO,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
349980,FD-44421,"offices,reports",offices,Persistence when Pay Commissions set to YES,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
349981,FD-44421,"offices,reports",offices,Commissions tab hidden for No Pay office,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
349982,FD-44421,"offices,reports",offices,Commissions tab visible for Pay office,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
349987,FD-44421,"offices,reports",offices,Summary excludes No Pay offices when OFF,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
349988,FD-44421,"offices,reports",offices,Summary includes No Pay offices when ON,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
349991,FD-44421,"offices,reports",offices,Commission Details toggle visible,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
349992,FD-44421,"offices,reports",offices,Commission Details excludes No Pay,Y,N,Y,2,N,N,0,0,0,N,N,0,0.0,0.0
7806,FD-33358,loadreports,loadreports,Verify that the report updates properly when the Operational Office filter is applied for Load Summary by Office Reports,Y,N,N,1,N,N,259,5,92,N,N,0,0.0,7.0
